SNOMED_CT_ID	HPO_ID	HPO_NAME
SNOMEDCT:204962002	HP:0000003	Multicystic kidney dysplasia
SNOMEDCT:82525005	HP:0000003	Multicystic kidney dysplasia
SNOMEDCT:263681008	HP:0000006	Autosomal dominant inheritance
SNOMEDCT:258211005	HP:0000007	Autosomal recessive inheritance
SNOMEDCT:197927001	HP:0000010	Recurrent urinary tract infections
SNOMEDCT:397732007	HP:0000011	Neurogenic bladder
SNOMEDCT:398064005	HP:0000011	Neurogenic bladder
SNOMEDCT:75088002	HP:0000012	Urinary urgency
SNOMEDCT:35850006	HP:0000013	Hypoplasia of the uterus
SNOMEDCT:197866008	HP:0000015	Bladder diverticulum
SNOMEDCT:130951007	HP:0000016	Urinary retention
SNOMEDCT:267064002	HP:0000016	Urinary retention
SNOMEDCT:449491000124101	HP:0000016	Urinary retention
SNOMEDCT:139394000	HP:0000017	Nocturia
SNOMEDCT:5972002	HP:0000019	Urinary hesitancy
SNOMEDCT:165232002	HP:0000020	Urinary incontinence
SNOMEDCT:396232000	HP:0000023	Inguinal hernia
SNOMEDCT:9713002	HP:0000024	Prostatitis
SNOMEDCT:48723006	HP:0000026	Male hypogonadism
SNOMEDCT:425558002	HP:0000027	Azoospermia
SNOMEDCT:48188009	HP:0000027	Azoospermia
SNOMEDCT:204878001	HP:0000028	Cryptorchidism
SNOMEDCT:17585008	HP:0000029	Testicular atrophy
SNOMEDCT:31070006	HP:0000031	Epididymitis
SNOMEDCT:26614003	HP:0000034	Hydrocele testis
SNOMEDCT:386152007	HP:0000034	Hydrocele testis
SNOMEDCT:55434001	HP:0000034	Hydrocele testis
SNOMEDCT:55631001	HP:0000035	Abnormal testis morphology
SNOMEDCT:111332007	HP:0000037	Male pseudohermaphroditism
SNOMEDCT:406477003	HP:0000039	Epispadias
SNOMEDCT:88673001	HP:0000040	Long penis
SNOMEDCT:4287008	HP:0000041	Chordee
SNOMEDCT:33927004	HP:0000044	Hypogonadotropic hypogonadism
SNOMEDCT:204912007	HP:0000046	Small scrotum
SNOMEDCT:204888000	HP:0000047	Hypospadias
SNOMEDCT:236780002	HP:0000048	Bifid scrotum
SNOMEDCT:204890004	HP:0000051	Perineal hypospadias
SNOMEDCT:34911001	HP:0000054	Micropenis
SNOMEDCT:289469003	HP:0000059	Hypoplastic labia majora
SNOMEDCT:21321009	HP:0000062	Ambiguous genitalia
SNOMEDCT:16924008	HP:0000065	Labial hypertrophy
SNOMEDCT:12818004	HP:0000070	Ureterocele
SNOMEDCT:95574003	HP:0000071	Ureteral stenosis
SNOMEDCT:69758005	HP:0000072	Hydroureter
SNOMEDCT:95576001	HP:0000072	Hydroureter
SNOMEDCT:49496001	HP:0000073	Ureteral duplication
SNOMEDCT:95575002	HP:0000074	Ureteropelvic junction obstruction
SNOMEDCT:30275001	HP:0000075	Renal duplication
SNOMEDCT:197811007	HP:0000076	Vesicoureteral reflux
SNOMEDCT:44513007	HP:0000077	Abnormality of the kidney
SNOMEDCT:90708001	HP:0000077	Abnormality of the kidney
SNOMEDCT:236423003	HP:0000083	Renal insufficiency
SNOMEDCT:42399005	HP:0000083	Renal insufficiency
SNOMEDCT:41729002	HP:0000085	Horseshoe kidney
SNOMEDCT:16507009	HP:0000086	Ectopic kidney
SNOMEDCT:32659003	HP:0000089	Renal hypoplasia
SNOMEDCT:204958008	HP:0000090	Nephronophthisis
SNOMEDCT:29738008	HP:0000093	Proteinuria
SNOMEDCT:197661001	HP:0000096	Glomerular sclerosis
SNOMEDCT:82646005	HP:0000096	Glomerular sclerosis
SNOMEDCT:236403004	HP:0000097	Focal segmental glomerulosclerosis
SNOMEDCT:25821008	HP:0000097	Focal segmental glomerulosclerosis
SNOMEDCT:248328003	HP:0000098	Tall stature
SNOMEDCT:36171008	HP:0000099	Glomerulonephritis
SNOMEDCT:52254009	HP:0000100	Nephrotic syndrome
SNOMEDCT:28442001	HP:0000103	Polyuria
SNOMEDCT:56574000	HP:0000103	Polyuria
SNOMEDCT:718402002	HP:0000103	Polyuria
SNOMEDCT:204942005	HP:0000104	Renal agenesis
SNOMEDCT:300444006	HP:0000105	Enlarged kidney
SNOMEDCT:204949001	HP:0000110	Renal dysplasia
SNOMEDCT:90708001	HP:0000112	Nephropathy
SNOMEDCT:82525005	HP:0000113	Polycystic kidney dysplasia
SNOMEDCT:287085006	HP:0000119	Abnormality of the genitourinary system
SNOMEDCT:42030000	HP:0000119	Abnormality of the genitourinary system
SNOMEDCT:48638002	HP:0000121	Nephrocalcinosis
SNOMEDCT:55726006	HP:0000122	Unilateral renal agenesis
SNOMEDCT:52845002	HP:0000123	Nephritis
SNOMEDCT:95568003	HP:0000124	Renal tubular dysfunction
SNOMEDCT:56108007	HP:0000125	Pelvic kidney
SNOMEDCT:43064006	HP:0000126	Hydronephrosis
SNOMEDCT:37849005	HP:0000130	Abnormality of the uterus
SNOMEDCT:146801000119103	HP:0000131	Uterine leiomyoma
SNOMEDCT:44598004	HP:0000131	Uterine leiomyoma
SNOMEDCT:95315005	HP:0000131	Uterine leiomyoma
SNOMEDCT:386692008	HP:0000132	Menorrhagia
SNOMEDCT:205681004	HP:0000133	Gonadal dysgenesis
SNOMEDCT:38804009	HP:0000133	Gonadal dysgenesis
SNOMEDCT:83579008	HP:0000133	Gonadal dysgenesis
SNOMEDCT:95219002	HP:0000133	Gonadal dysgenesis
SNOMEDCT:16041008	HP:0000134	Female hypogonadism
SNOMEDCT:48130008	HP:0000135	Hypogonadism
SNOMEDCT:5552004	HP:0000137	Abnormality of the ovary
SNOMEDCT:79883001	HP:0000138	Ovarian cyst
