rank	id	name	score
1	278000	Lysosomal acid lipase deficiency	0.5596129298210144
2	615486	Interstitial lung and liver disease	0.48904696106910706
3	617021	Hydrops, lactic acidosis, and sideroblastic anemia	0.4836701452732086
4	613812	Bile acid synthesis defect, congenital, 3	0.4700995683670044
5	618528	Mitochondrial DNA depletion syndrome 16 (hepatic type)	0.4643101096153259
6	618805	Triokinase and FMN cyclase deficiency syndrome	0.4604339301586151
7	230400	Galactosemia	0.45390573143959045
8	618963	Immunodeficiency 69, mycobacteriosis	0.453344464302063
9	619868	Cholestasis, progressive familial intrahepatic, 10	0.4493085741996765
10	619232	Bile acid conjugation defect 1	0.4441991150379181
11	607765	Bile acid synthesis defect, congenital, 1	0.43754029273986816
12	224120	Anemia, congenital dyserythropoietic, type Ia	0.435086727142334
13	269600	Sea-Blue histiocyte disease	0.43283936381340027
14	617049	Cholestasis, progressive familial intrahepatic, 5	0.43000802397727966
15	616860	Anemia, sideroblastic, 3, pyridoxine-refractory	0.42600762844085693
16	235555	Bile acid synthesis defect, congenital, 2	0.4235681891441345
17	614582	Combined oxidative phosphorylation deficiency 9	0.42099711298942566
18	214950	Bile acid synthesis defect, congenital, 4	0.41970521211624146
19	616974	Combined oxidative phosphorylation deficiency 30	0.415488600730896
20	615438	Infantile liver failure syndrome 1	0.4130403399467468
21	276700	Tyrosinemia, type I	0.41100582480430603
22	613070	Liver failure, infantile, transient	0.4101680815219879
23	613673	Anemia, dyserythropoietic congenital, type IV	0.4094783365726471
24	557000	Pearson marrow-pancreas syndrome	0.40917056798934937
25	257200	Niemann-Pick disease, type A	0.40771180391311646
26	605814	Citrullinemia, type II, neonatal-onset	0.40670958161354065
27	251880	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)	0.4033849835395813
28	615285	Neutropenia, severe congenital, 5, autosomal recessive	0.39905503392219543
29	210250	Sitosterolemia 1	0.3974883556365967
30	611590	Renal tubular acidosis, distal, with hemolytic anemia	0.39469680190086365
31	607616	Niemann-pick disease, type B	0.39456018805503845
32	606054	Propionic acidemia	0.3935531675815582
33	619048	Mitochondrial complex IV deficiency, nuclear type 4	0.39264264702796936
34	617394	Sclerosing cholangitis, neonatal	0.38804635405540466
35	617872	Combined oxidative phosphorylation deficiency 34	0.38761502504348755
36	602347	Cholestasis, progressive familial intrahepatic, 3	0.3852370083332062
37	227810	Fanconi-Bickel syndrome	0.3851173520088196
38	617156	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type)	0.3850080966949463
39	620010	Cholestasis, progressive familial intrahepatic, 12	0.3805564045906067
40	251110	Methylmalonic aciduria, vitamin B12-responsive, cblB type	0.38037607073783875
41	620151	Wolman disease	0.3793940842151642
