rank	id	name	score
1	611881	Glycogen storage disease XII	0.39180484414100647
2	603902	Thalassemia-beta, dominant inclusion-body	0.38892167806625366
3	227810	Fanconi-Bickel syndrome	0.33766019344329834
4	232700	Glycogen storage disease VI	0.33526846766471863
5	610539	Gaucher disease, atypical	0.33121007680892944
6	230800	Gaucher disease, type I	0.31379735469818115
7	232500	Glycogen storage disease IV	0.3125452399253845
8	231000	Gaucher disease, type III	0.30403319001197815
9	615895	Polyglucosan body myopathy 1 with or without immunodeficiency	0.29087841510772705
10	230900	Gaucher disease, type II	0.2783393859863281
11	257220	Niemann-pick disease, type C1	0.2777174413204193
12	261750	Glycogen storage disease type IXb	0.26038843393325806
13	608013	Gaucher disease, perinatal lethal	0.2580781579017639
14	613027	Glycogen storage disease IXc	0.2561032176017761
15	232200	Glycogen storage disease Ia	0.24147307872772217
16	607625	Niemann-pick disease, type C2	0.2401757836341858
17	232800	Glycogen storage disease VII	0.23040205240249634
18	232220	Glycogen storage disease Ib	0.2191540002822876
19	231005	Gaucher disease, type IIIC	0.2058825045824051
20	232400	Glycogen storage disease III	0.1765275001525879
21	232300	Glycogen storage disease II	0.1744043231010437
22	306000	Glycogen storage disease, type IXa1	0.15962748229503632
23	232240	Glycogen storage disease Ic	0.15611985325813293
24	612932	Glycogen storage disease XIII	0.13601407408714294
25	232600	Glycogen storage disease V	0.1260627806186676
26	263570	Polyglucosan body neuropathy, adult form	0.12146608531475067
27	611556	Glycogen storage disease 0, muscle	0.10803507268428802
28	261670	Phosphoglycerate mutase, muscle, deficiency of	0.10739222913980484
29	240600	Glycogen storage disease 0, liver	0.10472486913204193
30	612933	Glycogen storage disease XI	0.10406248271465302
31	613507	Glycogen storage disease XV	0.09858883917331696
32	300653	Phosphoglycerate kinase 1 deficiency	0.09408112615346909
33	616199	Polyglucosan body myopathy 2	0.08487051725387573
34	613985	BETA-THALASSEMIA	0.08457909524440765
35	614128	Lactate dehydrogenase B deficiency	0.08015543222427368
36	300257	Danon disease	0.06477020680904388
37	300559	Muscle glycogenosis, X-linked	0.055137574672698975
