rank	id	name	score
1	80739	MPIG6B	0.4725281298160553
2	3988	LIPA	0.4457533061504364
3	570	BAAT	0.4396500885486603
4	80270	HSD3B7	0.42865851521492004
5	5313	PKLR	0.4146275520324707
6	5825	ABCD3	0.41231846809387207
7	146059	CDAN1	0.4093805253505707
8	6718	AKR1D1	0.40716585516929626
9	6006	RHCE	0.3985901176929474
10	6208	RPS14	0.39332515001296997
11	84529	CDIN1	0.3921632766723633
12	669	BPGM	0.3905453681945801
13	212	ALAS2	0.3886274993419647
14	2819	GPD1	0.3885909914970398
15	4891	SLC11A2	0.3882478177547455
16	6005	RHAG	0.3863182067871094
17	2821	GPI	0.38549330830574036
18	3921	RPSA	0.38141101598739624
19	3931	LCAT	0.37895485758781433
20	948	CD36	0.3787249028682709
21	2235	FECH	0.376118928194046
22	164656	TMPRSS6	0.37159988284111023
23	200931	SLC51A	0.3715760409832001
24	3047	HBG1	0.36942359805107117
25	7293	TNFRSF4	0.3676418364048004
26	63036	CELA2A	0.3674687147140503
27	2876	GPX1	0.3672466576099396
28	150274	HSCB	0.36595675349235535
29	3158	HMGCS2	0.36379265785217285
30	3048	HBG2	0.3625589907169342
31	8482	SEMA7A	0.36212781071662903
32	51703	ACSL5	0.3599565923213959
33	55240	STEAP3	0.3598478436470032
34	203	AK1	0.35918718576431274
35	113220	KIF12	0.3577018678188324
36	2038	EPB42	0.3575292229652405
37	54205	CYCS	0.3568456172943115
38	64376	IKZF5	0.3567729890346527
39	51128	SAR1B	0.35542032122612
40	9493	KIF23	0.3551802337169647
41	11311	VPS45	0.35433098673820496
42	2694	CBLIF	0.3536280393600464
43	2495	FTH1	0.35331210494041443
44	130589	GALM	0.35229572653770447
45	147007	TMEM199	0.35162749886512756
46	54977	SLC25A38	0.35114786028862
47	2035	EPB41	0.35104256868362427
48	811	CALR	0.35022619366645813
49	6573	SLC19A1	0.3501482605934143
50	5836	PYGL	0.3498333990573883
51	2539	G6PD	0.3486126959323883
52	6427	SRSF2	0.34749332070350647
53	1441	CSF3R	0.34697526693344116
54	54583	EGLN1	0.34512490034103394
55	8328	GFI1B	0.34348952770233154
56	2056	EPO	0.3432847857475281
57	6007	RHD	0.343087762594223
58	6521	SLC4A1	0.34255552291870117
59	861	RUNX1	0.34186533093452454
60	51081	MRPS7	0.3416624069213867
61	7018	TF	0.3410050868988037
62	87	ACTN1	0.3405793011188507
63	4645	MYO5B	0.3389972746372223
64	6916	TBXAS1	0.3382472097873688
65	26007	TKFC	0.33802300691604614
66	54532	USP53	0.3375348448753357
67	65080	MRPL44	0.33743131160736084
68	22852	ANKRD26	0.3360397219657898
69	5321	PLA2G4A	0.3336770236492157
70	84936	ZFYVE19	0.3335893452167511
71	1244	ABCC2	0.32902759313583374
