rank	id	name	score
1	278000	Lysosomal acid lipase deficiency	0.5482643842697144
2	615486	Interstitial lung and liver disease	0.47958528995513916
3	617021	Hydrops, lactic acidosis, and sideroblastic anemia	0.4768434762954712
4	618805	Triokinase and FMN cyclase deficiency syndrome	0.4740011990070343
5	618963	Immunodeficiency 69, mycobacteriosis	0.4605902135372162
6	619868	Cholestasis, progressive familial intrahepatic, 10	0.45899829268455505
7	613812	Bile acid synthesis defect, congenital, 3	0.4584120810031891
8	618528	Mitochondrial DNA depletion syndrome 16 (hepatic type)	0.4535371661186218
9	269600	Sea-Blue histiocyte disease	0.44465309381484985
10	224120	Anemia, congenital dyserythropoietic, type Ia	0.44404757022857666
11	230400	Galactosemia	0.4422872066497803
12	616860	Anemia, sideroblastic, 3, pyridoxine-refractory	0.4360402226448059
13	619232	Bile acid conjugation defect 1	0.427357017993927
14	614582	Combined oxidative phosphorylation deficiency 9	0.4264611005783081
15	607765	Bile acid synthesis defect, congenital, 1	0.4236747622489929
16	613673	Anemia, dyserythropoietic congenital, type IV	0.4165097773075104
17	617049	Cholestasis, progressive familial intrahepatic, 5	0.4164373278617859
18	605814	Citrullinemia, type II, neonatal-onset	0.4140308201313019
19	257200	Niemann-Pick disease, type A	0.41131162643432617
20	235555	Bile acid synthesis defect, congenital, 2	0.4073227345943451
21	619048	Mitochondrial complex IV deficiency, nuclear type 4	0.40543997287750244
22	615285	Neutropenia, severe congenital, 5, autosomal recessive	0.4054257273674011
23	214950	Bile acid synthesis defect, congenital, 4	0.4052272439002991
24	210250	Sitosterolemia 1	0.4030388295650482
25	616974	Combined oxidative phosphorylation deficiency 30	0.40217944979667664
26	607616	Niemann-pick disease, type B	0.4020867943763733
27	611590	Renal tubular acidosis, distal, with hemolytic anemia	0.4020567238330841
28	557000	Pearson marrow-pancreas syndrome	0.40002962946891785
29	606054	Propionic acidemia	0.3972006142139435
30	276700	Tyrosinemia, type I	0.395957887172699
31	251880	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)	0.3937716484069824
32	615438	Infantile liver failure syndrome 1	0.3920566141605377
33	613070	Liver failure, infantile, transient	0.3917473256587982
34	620010	Cholestasis, progressive familial intrahepatic, 12	0.38943547010421753
35	602347	Cholestasis, progressive familial intrahepatic, 3	0.38922062516212463
36	227810	Fanconi-Bickel syndrome	0.3875485956668854
37	612840	Leukocyte adhesion deficiency, type III	0.3874948024749756
38	615158	Mitochondrial complex III deficiency, nuclear type 3	0.38734811544418335
39	251110	Methylmalonic aciduria, vitamin B12-responsive, cblB type	0.3846322000026703
40	226990	Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive	0.38193970918655396
41	611881	Glycogen storage disease XII	0.37872111797332764
42	237800	Hyperbilirubinemia, shunt, primary	0.37799328565597534
43	617156	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type)	0.37786865234375
44	615085	Osteopetrosis, autosomal recessive 8	0.3774091303348541
45	618775	Mitochondrial complex III deficiency, nuclear type 10	0.3768083453178406
46	267700	Hemophagocytic lymphohistiocytosis, familial, 1	0.37655773758888245
47	617394	Sclerosing cholangitis, neonatal	0.37517377734184265
48	603554	Omenn syndrome	0.3748857378959656
49	209950	Immunodeficiency 27A, mycobacteriosis, AR	0.3745380938053131
50	617872	Combined oxidative phosphorylation deficiency 34	0.3726792633533478
51	614034	Heme oxygenase-1 deficiency	0.3717939853668213
52	615631	Anemia, congenital dyserythropoietic, type Ib	0.36900269985198975
53	617441	Thrombocytopenia, anemia, and myelofibrosis	0.3684562146663666
54	258900	Orotic aciduria	0.36585861444473267
55	105600	Anemia, dyserythropoietic congenital, type III	0.3657020032405853
56	615395	Combined oxidative phosphorylation deficiency 16	0.36386638879776
57	603902	Thalassemia-beta, dominant inclusion-body	0.3629973232746124
58	616278	Bile acid synthesis defect, congenital, 5	0.3624275028705597
59	619662	Cholestasis, progressive familial intrahepatic, 8	0.36240819096565247
60	602579	Congenital disorder of glycosylation, type Ib	0.36161935329437256
61	619573	Immunodeficiency 87 and autoimmunity	0.35930585861206055
62	133180	Erythroleukemia, familial, susceptibility to	0.3590947389602661
63	608104	Congenital disorder of glycosylation, type Ih	0.3583410382270813
64	615595	Combined oxidative phosphorylation deficiency 19	0.35807013511657715
65	187800	Bleeding disorder, platelet-type, 16	0.3573632538318634
66	606003	Transaldolase deficiency	0.3564119338989258
67	614727	Congenital disorder of glycosylation, type IIK	0.35501688718795776
68	619377	Osteootohepatoenteric syndrome	0.3543243408203125
69	617093	Growth retardation, impaired intellectual development, hypotonia, and hepatopathy	0.35422685742378235
70	277900	Wilson disease	0.3537018597126007
71	616050	Autoinflammation with infantile enterocolitis	0.3535754680633545
72	620151	Wolman disease	0.35271313786506653
73	245900	Lecithin:cholesterol acyltransferase deficiency	0.35243016481399536
74	211600	Cholestasis, progressive familial intrahepatic 1	0.35233449935913086
75	614480	Hypertriglyceridemia, transient infantile	0.35222309827804565
76	620454	Congenital disorder of glycosylation, type IIaa	0.35201898217201233
77	231095	Ghosal hematodiaphyseal dysplasia	0.3519638478755951
78	615234	Anemia, hypochromic microcytic, with iron overload 2	0.35118719935417175
79	226300	Complement hyperactivation, angiopathic thrombosis, and protein-losing enteropathy	0.3509502112865448
80	616689	Dehydrated hereditary stomatocytosis 2	0.3501792848110199
81	612690	Spherocytosis, type 5	0.3494341969490051
82	246400	Letterer-Siwe disease	0.3491315245628357
83	619658	Cholestasis, progressive familial intrahepatic, 7, with or without hearing loss	0.34893035888671875
84	613845	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis syndrome	0.34872767329216003
85	603553	Hemophagocytic lymphohistiocytosis, familial, 2	0.3482259511947632
86	235700	Hemolytic anemia, nonspherocytic, due to hexokinase deficiency	0.348199725151062
87	612714	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarialhyperostosis	0.3480321764945984
88	300835	Anemia, X-linked, with or without neutropenia and/or platelet abnormalities	0.34747833013534546
89	603552	Hemophagocytic lymphohistiocytosis, familial, 4	0.3467230498790741
90	256810	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	0.3458295464515686
91	251100	Methylmalonic aciduria, vitamin B12-responsive, cblA type	0.3457608222961426
92	300972	Immunodeficiency 47	0.3443267047405243
93	616828	Congenital disorder of glycosylation, type IIO	0.3409421443939209
94	613101	Hemophagocytic lymphohistiocytosis, familial, 5	0.34048324823379517
95	222700	Lysinuric protein intolerance	0.3395683765411377
96	231100	Hemochromatosis, neonatal	0.33933159708976746
97	615558	Hypobetalipoproteinemia, familial, 1	0.33683690428733826
98	261680	Phosphoenolpyruvate carboxykinase deficiency, cytosolic	0.3364810645580292
99	618234	Mitochondrial complex I deficiency, nuclear type 11	0.33609312772750854
100	605911	HMG-CoA synthase-2 deficiency	0.33448588848114014
101	231900	Hemolytic anemia due to glutathione synthetase deficiency	0.3337538242340088
102	312500	Reticuloendotheliosis, X-linked	0.3320058286190033
103	259700	Osteopetrosis, autosomal recessive 1	0.3311484158039093
104	611490	Osteopetrosis, autosomal recessive 4	0.3308904767036438
105	600803	Gallbladder disease 1	0.3303517699241638
106	224100	Anemia, dyserythropoietic congenital, type II	0.33017870783805847
107	232700	Glycogen storage disease VI	0.3299282193183899
108	613027	Glycogen storage disease IXc	0.32839879393577576
109	609628	Majeed syndrome	0.3280585706233978
110	619484	Cholestasis, progressive familial intrahepatic, 6	0.32682928442955017
111	616176	Bleeding disorder, platelet-type, 19	0.3265018165111542
112	613658	Rajab interstitial lung disease with brain calcifications	0.32638615369796753
113	617591	Proteasome-Associated autoinflammatory syndrome 3	0.3256973624229431
114	214900	Cholestasis-Lymphedema syndrome	0.32515206933021545
115	620481	Amegakaryocytic thrombocytopenia, congenital, 2	0.32450878620147705
116	619386	Combined oxidative phosphorylation deficiency 52	0.32449865341186523
117	603278	Focal segmental glomerulosclerosis 1	0.32442688941955566
118	614924	Combined oxidative phosphorylation deficiency 12	0.324361652135849
119	603471	Citrullinemia, type II, adult-onset	0.3220786154270172
120	187900	Bleeding disorder, platelet-type, 17	0.32167407870292664
121	615895	Polyglucosan body myopathy 1 with or without immunodeficiency	0.3214923143386841
122	601847	Cholestasis, progressive familial intrahepatic 2	0.32072970271110535
123	619874	Cholestasis, progressive familial intrahepatic, 11	0.32071906328201294
124	259730	Osteopetrosis, autosomal recessive 3	0.3194480538368225
125	610539	Gaucher disease, atypical	0.31919312477111816
126	616740	Immunodeficiency 46	0.319114625453949
127	615947	Hyperlipoproteinemia, type ID	0.31904229521751404
128	613470	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerasedeficiency	0.3189617395401001
129	619041	Monosomy 7 myelodysplasia and leukemia syndrome 2	0.31849825382232666
130	617243	Fanconi anemia, complementation group V	0.3175467252731323
131	174900	Juvenile polyposis syndrome	0.31724053621292114
132	619463	Portal hypertension, noncirrhotic, 2	0.31713923811912537
133	619481	Bile acid malabsorption, primary, 2	0.3165225088596344
134	619525	Congenital disorder of glycosylation, type IIw	0.31649094820022583
135	613752	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	0.3163636326789856
136	232500	Glycogen storage disease IV	0.31523945927619934
137	170100	Prolidase deficiency	0.3151916563510895
138	610090	Pyridoxamine 5-prime-phosphate oxidase deficiency	0.3150905668735504
139	609015	Mitochondrial trifunctional protein deficiency	0.3149757385253906
140	614300	Hypermethioninemia due to adenosine kinase deficiency	0.3142864406108856
141	263300	Polycythemia vera	0.3136582672595978
142	614972	Cholestasis, intrahepatic, of pregnancy 3	0.31365564465522766
143	613759	Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations	0.31263822317123413
144	616937	Thrombocytopenia 6	0.31240952014923096
145	246450	3-Hydroxy-3-Methylglutaryl-Coa lyase deficiency	0.3119658827781677
146	273680	Thanatophoric dysplasia, glasgow variant	0.3106536865234375
147	206100	Anemia, hypochromic microcytic, with iron overload 1	0.31057193875312805
148	615758	Immunodeficiency 22	0.31027108430862427
149	616649	Spherocytosis, type 2	0.3098081052303314
150	613313	Hemochromatosis, type 2B	0.3095491826534271
151	613011	Lymphoproliferative syndrome 1	0.3086402118206024
152	604416	Pyogenic sterile arthritis, pyoderma gangrenosum, and acne	0.3081643283367157
153	616433	Immunodeficiency 40	0.3080398738384247
154	613977	Cyanosis, transient neonatal	0.3076220154762268
155	618839	Combined oxidative phosphorylation deficiency 42	0.30758368968963623
156	618835	Combined oxidative phosphorylation deficiency 40	0.3069934844970703
157	255120	Carnitine palmitoyltransferase I deficiency	0.30675703287124634
158	207900	Argininosuccinic aciduria	0.30646181106567383
159	620364	Combined low LDL and fibrinogen	0.3063848912715912
160	243500	Isovaleric acidemia	0.3063070774078369
161	620365	Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 7	0.3054375648498535
162	620357	Diarrhea 13	0.30482062697410583
163	616026	Fanconi renotubular syndrome 4 with maturity-onset diabetes of the young	0.303805410861969
164	185000	Overhydrated hereditary stomatocytosis	0.30359792709350586
165	611804	Elliptocytosis 1	0.30320069193840027
166	259710	Osteopetrosis, autosomal recessive 2	0.30267030000686646
167	619858	Autoinflammatory-pancytopenia syndrome	0.3025464117527008
168	229600	Fructose intolerance, hereditary	0.3020709753036499
169	208085	Arthrogryposis, renal dysfunction, and cholestasis 1	0.30202218890190125
170	619418	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2	0.3014669418334961
171	618107	Osteopetrosis, autosomal dominant 3	0.3013979494571686
172	608898	Hemophagocytic lymphohistiocytosis, familial, 3	0.30099621415138245
173	205950	Anemia, sideroblastic, 2, pyridoxine-refractory	0.3003004789352417
174	277700	Werner syndrome	0.3002854287624359
175	606069	Hemochromatosis, type 4	0.3001744747161865
176	230800	Gaucher disease, type I	0.3001575469970703
177	266200	Pyruvate kinase deficiency of red cells	0.3000100255012512
178	614946	Combined oxidative phosphorylation deficiency 14	0.2997771203517914
179	615453	Mitochondrial complex III deficiency, nuclear type 6	0.29970410466194153
180	610198	3-methylglutaconic aciduria, type V	0.29937246441841125
181	616829	Congenital disorder of glycosylation, type IIP	0.29838863015174866
182	603529	Dyserythropoiesis, congenital, with ultrastructurally normal erythroblastheterochromatin	0.2982259690761566
183	212140	Carnitine deficiency, systemic primary	0.29803267121315
184	259720	Osteopetrosis, autosomal recessive 5	0.29773518443107605
185	209300	ATRANSFERRINEMIA	0.2976551651954651
186	619433	Cardiomyopathy, familial restrictive, 6	0.2974931597709656
187	124000	Mitochondrial complex III deficiency, nuclear type 1	0.2973043620586395
188	274150	Thrombotic thrombocytopenic purpura, hereditary	0.29670843482017517
189	619523	Anemia, sideroblastic, 5	0.2963734567165375
190	139090	Gray platelet syndrome	0.29605722427368164
191	121270	Copper deficiency, familial benign	0.2957620322704315
192	617780	Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia	0.29529011249542236
193	182900	Spherocytosis, type 1	0.29448840022087097
194	618838	Combined oxidative phosphorylation deficiency 41	0.29435455799102783
195	612653	Spherocytosis, type 4	0.2942657172679901
196	194380	Dehydrated hereditary stomatocytosis 1 with or without pseudohyperkalemia and/or perinatal edema	0.2942603826522827
197	610377	Mevalonic aciduria	0.29415443539619446
198	239200	Hyperparathyroidism, neonatal severe	0.29405686259269714
199	231000	Gaucher disease, type III	0.2933950424194336
200	615517	Hemochromatosis, type 5	0.293247789144516
201	619046	Mitochondrial complex IV deficiency, nuclear type 3	0.2932451069355011
202	185070	Stormorken syndrome	0.2916910648345947
203	617253	Seckel syndrome 10	0.291421115398407
204	147480	Cholestasis, intrahepatic, of pregnancy, 1	0.2907775044441223
205	177000	Protoporphyria, erythropoietic, 1	0.28918325901031494
206	618329	Combined oxidative phosphorylation deficiency 37	0.28887268900871277
207	614156	Hyperbiliverdinemia	0.2886829376220703
208	275350	Transcobalamin II deficiency	0.2884127199649811
209	618620	Abdominal obesity-metabolic syndrome 4	0.2878878712654114
210	618852	Autoinflammation with episodic fever and lymphadenopathy	0.28748759627342224
211	618398	T-cell lymphoma, subcutaneous panniculitis-like	0.2874317169189453
212	616216	Thrombocytopenia 5	0.28737443685531616
213	222800	Erythrocytosis, familial, 8	0.28676149249076843
214	602079	Trimethylaminuria	0.2865617275238037
215	271500	Splenoportal vascular anomalies	0.28648534417152405
216	606812	Fumarase deficiency	0.28575268387794495
217	620366	Osteopetrosis, autosomal recessive 9	0.28542497754096985
218	314050	Thrombocytopenia with beta-thalassemia, X-linked	0.2852170169353485
219	619175	Proteasome-associated autoinflammatory syndrome 5	0.28517645597457886
220	619849	Cholestasis, progressive familial intrahepatic, 9	0.28446394205093384
221	614520	Encephalomyopathy, mitochondrial, due to voltage-dependent anion channel deficiency	0.2841193377971649
222	611126	Mitochondrial complex I deficiency, nuclear type 20	0.2838872969150543
223	617408	Diamond-Blackfan anemia 16	0.2836727499961853
224	614576	Congenital disorder of glycosylation, type IIl	0.2829633355140686
225	277380	Methylmalonic aciduria and homocystinuria, Cblf type	0.28259608149528503
226	619487	Aicardi-Goutieres syndrome 9	0.2823640704154968
227	232200	Glycogen storage disease Ia	0.2821369469165802
228	615160	Mitochondrial complex III deficiency, nuclear type 5	0.2819845676422119
229	619991	Liver disease, severe congenital	0.2815331816673279
230	618641	Infantile liver failure syndrome 3	0.28127697110176086
231	212750	Celiac disease, susceptibility to, 1	0.2812643349170685
232	300842	Mcleod syndrome	0.281242311000824
233	613839	Megaloblastic anemia due to dihydrofolate reductase deficiency	0.2812398672103882
234	616435	Fanconi anemia, complementation group T	0.28093165159225464
235	614702	Combined oxidative phosphorylation deficiency 10	0.28062573075294495
236	614470	RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic	0.28036627173423767
237	260400	Shwachman-Diamond syndrome 1	0.28020718693733215
238	182170	Anemia, sideroblastic, autosomal dominant	0.2798510789871216
239	618849	Bone marrow failure syndrome 6	0.27983224391937256
240	603903	Sickle cell anemia	0.27974933385849
241	220110	Mitochondrial complex IV deficiency, nuclear type 1	0.27964159846305847
242	615122	Lymphoproliferative syndrome 2	0.2794170081615448
243	614876	Peroxisome biogenesis disorder 8A (Zellweger)	0.2790047228336334
244	620358	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4A	0.27864983677864075
245	617950	Combined oxidative phosphorylation deficiency 36	0.27831733226776123
246	602722	Distal renal tubular acidosis 3, with or without sensorineural hearing loss	0.27807745337486267
247	206200	Iron-Refractory iron deficiency anemia	0.27792641520500183
248	620300	Mitochondrial trifunctional protein deficiency 2	0.2772078812122345
249	615715	Bone marrow failure syndrome 2	0.2769712805747986
250	604273	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1	0.2766959071159363
251	301068	Hardikar syndrome	0.2765742838382721
252	617300	Lymphatic malformation 7	0.2764347195625305
253	155100	Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	0.27640002965927124
254	222748	Dihydropyrimidinuria	0.2762514352798462
255	222470	Trichohepatoenteric syndrome 1	0.27623575925827026
256	614921	Congenital disorder of glycosylation, type It	0.2761021852493286
257	308240	Lymphoproliferative syndrome, X-linked, 1	0.2753615975379944
258	202700	Neutropenia, severe congenital, 1, autosomal dominant	0.27514123916625977
259	185020	Cryohydrocytosis	0.2750370502471924
260	616636	Immunodeficiency 44	0.27495813369750977
261	608404	Platelet glycoprotein IV deficiency	0.2748169004917145
262	615381	Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome	0.2746180295944214
263	618278	Fibrosis, neurodegeneration, and cerebral angiomatosis	0.27415141463279724
264	256700	Neuroblastoma, susceptibility to	0.2741091549396515
265	615559	Autoimmune lymphoproliferative syndrome, type III	0.2740260660648346
266	153670	Bernard-Soulier syndrome, type A2, autosomal dominant	0.2738579213619232
267	127550	Dyskeratosis congenita, autosomal dominant, 1	0.27347061038017273
268	131400	Eosinophilia, familial	0.27343565225601196
269	619644	Immunodeficiency 91 and hyperinflammation	0.27334901690483093
270	301078	Immunodeficiency 98 with autoinflammation, X-linked	0.27214524149894714
271	619534	Biliary, renal, neurologic, and skeletal syndrome	0.2718246579170227
272	235200	Hemochromatosis, type 1	0.27154478430747986
273	612541	Neutropenia, severe congenital, 4, autosomal recessive	0.2711772620677948
274	605479	Cholestasis, benign recurrent intrahepatic, 2	0.27075666189193726
275	616738	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2	0.27030500769615173
276	615863	Diarrhea 7, protein-losing Enteropathy type	0.2702632546424866
277	257220	Niemann-pick disease, type C1	0.2700904607772827
278	606824	Glucose/galactose malabsorption	0.27004149556159973
279	618312	Diamond-Blackfan anemia 19	0.2700333893299103
280	613561	Myopathy, lactic acidosis, and sideroblastic anemia 2	0.26987242698669434
281	203700	Mitochondrial DNA depletion syndrome 4A (Alpers type)	0.26927369832992554
282	612924	Hemolytic uremic syndrome, atypical, susceptibility to, 4	0.2691688537597656
283	620478	Thrombocytopenia 9	0.26902252435684204
284	246700	Chylomicron retention disease	0.2689899802207947
285	618892	Harderoporphyria	0.2688697576522827
286	619271	Bleeding disorder, platelet-type, 24, autosomal dominant	0.26866161823272705
287	179010	Pyloric stenosis, infantile hypertrophic 1	0.26851990818977356
288	613989	Dyskeratosis congenita, autosomal dominant 2	0.2683533728122711
289	612922	Hemolytic uremic syndrome, atypical, susceptibility to, 2	0.2681192457675934
290	230900	Gaucher disease, type II	0.2680332362651825
291	617475	Specific granule deficiency 2	0.2675659954547882
292	615512	Triosephosphate isomerase deficiency	0.2675289213657379
293	261000	Intrinsic factor deficiency	0.2674158215522766
294	615703	Morbid obesity and spermatogenic failure	0.26734915375709534
295	619013	Rajab interstitial lung disease with brain calcifications 2	0.26629355549812317
296	215600	Cirrhosis, familial	0.26616281270980835
297	618858	Diabetes mellitus, permanent neonatal 4	0.2660725712776184
298	251000	Methylmalonic aciduria due to methylmalonyl-coa mutase deficiency	0.26596131920814514
299	619802	Immunodeficiency 97 with autoinflammation	0.2656383812427521
300	238600	Type I hyperlipoproteinemia	0.26559391617774963
301	620135	Mitochondrial complex I deficiency, nuclear type 39	0.2645553946495056
302	617970	Rh-null disease, amorph type	0.26426100730895996
303	179700	Red cell phospholipid defect with hemolysis	0.26379114389419556
304	614742	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 1	0.2633519768714905
305	263700	Porphyria, congenital erythropoietic	0.26333776116371155
306	620296	Autoinflammation with pulmonary and cutaneous vasculitis	0.2629798352718353
307	206400	Anemia, nonspherocytic hemolytic, possibly due to defect in porphyrinmetabolism	0.2629067599773407
