loinc	scale	interpretation	hpoTermId
LOINC:600-7	Nom	H	HP:0031864
LOINC:600-7	Nom	POS	HP:0031864
LOINC:600-7	Nom	NEG	HP:0031864
LOINC:600-7	Nom	N	HP:0031864
LOINC:630-4	Nom	H	HP:0012461
LOINC:630-4	Nom	POS	HP:0012461
LOINC:630-4	Nom	NEG	HP:0012461
LOINC:630-4	Nom	N	HP:0012461
LOINC:702-1	Ord	NEG	HP:0011273
LOINC:702-1	Ord	POS	HP:0011273
LOINC:703-9	Ord	NEG	HP:0020081
LOINC:703-9	Ord	POS	HP:0020081
LOINC:704-7	Qn	L	HP:0031808
LOINC:704-7	Qn	N	HP:0031806
LOINC:704-7	Qn	H	HP:0031807
LOINC:705-4	Qn	L	HP:0031808
LOINC:705-4	Qn	N	HP:0031806
LOINC:705-4	Qn	H	HP:0031807
LOINC:706-2	Qn	L	HP:0031808
LOINC:706-2	Qn	N	HP:0031806
LOINC:706-2	Qn	H	HP:0031807
LOINC:707-0	Qn	L	HP:0031808
LOINC:707-0	Qn	N	HP:0031806
LOINC:707-0	Qn	H	HP:0031807
LOINC:708-8	Qn	N	HP:0011893
LOINC:708-8	Qn	H	HP:0032372
LOINC:709-6	Qn	N	HP:0032372
LOINC:709-6	Qn	H	HP:0032372
LOINC:711-2	Qn	N	HP:0001879
LOINC:711-2	Qn	H	HP:0001880
LOINC:712-0	Qn	N	HP:0001879
LOINC:712-0	Qn	H	HP:0001880
LOINC:713-8	Qn	L	HP:0031891
LOINC:713-8	Qn	N	HP:0001879
LOINC:713-8	Qn	H	HP:0001880
LOINC:714-6	Qn	L	HP:0031891
LOINC:714-6	Qn	N	HP:0001879
LOINC:714-6	Qn	H	HP:0001880
LOINC:718-7	Qn	L	HP:0020062
LOINC:718-7	Qn	N	HP:0020061
LOINC:718-7	Qn	H	HP:0020063
LOINC:721-1	Qn	N	HP:0011902
LOINC:721-1	Qn	H	HP:0001900
LOINC:725-2	Ord	NEG	HP:0003641
LOINC:725-2	Ord	POS	HP:0003641
LOINC:726-0	Qn	N	HP:0003641
LOINC:726-0	Qn	H	HP:0003641
LOINC:728-6	Ord	NEG	HP:0001931
LOINC:728-6	Ord	POS	HP:0001931
LOINC:729-4	Qn	N	HP:0011893
LOINC:729-4	Qn	H	HP:0001974
LOINC:731-0	Qn	L	HP:0001888
LOINC:731-0	Qn	N	HP:0040088
LOINC:731-0	Qn	H	HP:0100827
LOINC:735-1	Qn	N	HP:0004332
LOINC:735-1	Qn	H	HP:0004332
LOINC:736-9	Qn	L	HP:0001888
LOINC:736-9	Qn	N	HP:0040088
LOINC:736-9	Qn	H	HP:0100827
LOINC:737-7	Qn	L	HP:0001888
LOINC:737-7	Qn	N	HP:0040088
LOINC:737-7	Qn	H	HP:0100827
LOINC:738-5	Ord	NEG	HP:0001972
LOINC:738-5	Ord	POS	HP:0001972
LOINC:739-3	Qn	N	HP:0032238
LOINC:739-3	Qn	H	HP:0032238
LOINC:740-1	Qn	N	HP:0012137
LOINC:740-1	Qn	H	HP:0032238
LOINC:741-9	Ord	NEG	HP:0001935
LOINC:741-9	Ord	POS	HP:0001935
LOINC:742-7	Qn	L	HP:0012312
LOINC:742-7	Qn	N	HP:0012310
LOINC:742-7	Qn	H	HP:0012311
LOINC:744-3	Qn	L	HP:0012312
LOINC:744-3	Qn	N	HP:0012310
LOINC:744-3	Qn	H	HP:0012311
LOINC:748-4	Qn	N	HP:0010974
LOINC:748-4	Qn	H	HP:0032237
LOINC:749-2	Qn	N	HP:0010974
LOINC:749-2	Qn	H	HP:0032237
LOINC:751-8	Qn	L	HP:0001875
LOINC:751-8	Qn	N	HP:0011991
LOINC:751-8	Qn	H	HP:0011897
LOINC:753-4	Qn	L	HP:0001875
LOINC:753-4	Qn	N	HP:0011991
LOINC:753-4	Qn	H	HP:0011897
LOINC:761-7	Qn	N	HP:0012614
LOINC:761-7	Qn	H	HP:0012085
LOINC:763-3	Qn	N	HP:0011991
LOINC:763-3	Qn	H	HP:0032239
LOINC:766-6	Qn	N	HP:0004821
LOINC:766-6	Qn	H	HP:0004821
LOINC:770-8	Qn	L	HP:0001875
LOINC:770-8	Qn	N	HP:0011991
LOINC:770-8	Qn	H	HP:0011897
LOINC:777-3	Qn	L	HP:0001873
LOINC:777-3	Qn	N	HP:0011873
LOINC:777-3	Qn	H	HP:0001894
LOINC:778-1	Qn	L	HP:0001873
LOINC:778-1	Qn	N	HP:0011873
LOINC:778-1	Qn	H	HP:0001894
LOINC:779-9	Ord	NEG	HP:0004447
LOINC:779-9	Ord	POS	HP:0004447
LOINC:784-9	Qn	L	HP:0025066
LOINC:784-9	Qn	N	HP:0025065
LOINC:784-9	Qn	H	HP:0005518
LOINC:785-6	Qn	L	HP:0025547
LOINC:785-6	Qn	N	HP:0025546
LOINC:785-6	Qn	H	HP:0025548
LOINC:786-4	Qn	L	HP:0025547
LOINC:786-4	Qn	N	HP:0025546
LOINC:786-4	Qn	H	HP:0025548
LOINC:787-2	Qn	L	HP:0025066
LOINC:787-2	Qn	N	HP:0025065
LOINC:787-2	Qn	H	HP:0005518
LOINC:788-0	Qn	N	HP:0031965
LOINC:788-0	Qn	H	HP:0031965
LOINC:789-8	Qn	L	HP:0020060
LOINC:789-8	Qn	N	HP:0020058
LOINC:789-8	Qn	H	HP:0020059
LOINC:790-6	Qn	L	HP:0020060
LOINC:790-6	Qn	N	HP:0020058
LOINC:790-6	Qn	H	HP:0020059
LOINC:798-9	Qn	N	HP:0000790
LOINC:798-9	Qn	H	HP:0000790
LOINC:799-7	Qn	N	HP:0000790
LOINC:799-7	Qn	H	HP:0000790
LOINC:800-3	Ord	NEG	HP:0001981
LOINC:800-3	Ord	POS	HP:0001981
LOINC:804-5	Qn	L	HP:0001882
LOINC:804-5	Qn	N	HP:0011893
LOINC:804-5	Qn	H	HP:0001974
LOINC:1004-1	Ord	NEG	HP:0032366
LOINC:1004-1	Ord	POS	HP:0032366
LOINC:1007-4	Ord	NEG	HP:0032366
LOINC:1007-4	Ord	POS	HP:0032366
LOINC:1358-1	Qn	L	HP:0002920
LOINC:1358-1	Qn	N	HP:0011043
LOINC:1359-9	Qn	L	HP:0002920
LOINC:1359-9	Qn	N	HP:0011043
LOINC:1360-7	Qn	L	HP:0002920
LOINC:1360-7	Qn	N	HP:0011043
LOINC:1361-5	Qn	L	HP:0002920
LOINC:1361-5	Qn	N	HP:0011043
LOINC:1362-3	Qn	L	HP:0002920
LOINC:1362-3	Qn	N	HP:0011043
LOINC:1363-1	Qn	L	HP:0002920
LOINC:1363-1	Qn	N	HP:0011043
LOINC:1364-9	Qn	L	HP:0002920
LOINC:1364-9	Qn	N	HP:0011043
LOINC:1365-6	Qn	L	HP:0002920
LOINC:1365-6	Qn	N	HP:0011043
LOINC:1366-4	Qn	L	HP:0002920
LOINC:1366-4	Qn	N	HP:0011043
LOINC:1367-2	Qn	L	HP:0002920
LOINC:1367-2	Qn	N	HP:0011043
LOINC:1368-0	Qn	L	HP:0002920
LOINC:1368-0	Qn	N	HP:0011043
LOINC:1389-6	Qn	N	HP:0012029
LOINC:1389-6	Qn	H	HP:0012030
LOINC:1390-4	Qn	N	HP:0012029
LOINC:1390-4	Qn	H	HP:0012030
LOINC:1393-8	Qn	N	HP:0012029
LOINC:1393-8	Qn	H	HP:0012030
LOINC:1394-6	Qn	N	HP:0012029
LOINC:1394-6	Qn	H	HP:0012030
LOINC:1401-9	Qn	L	HP:0008163
LOINC:1401-9	Qn	N	HP:0011731
LOINC:1402-7	Qn	L	HP:0008163
LOINC:1402-7	Qn	N	HP:0011731
LOINC:1403-5	Qn	L	HP:0008163
LOINC:1403-5	Qn	N	HP:0011731
LOINC:1408-4	Qn	L	HP:0008163
LOINC:1408-4	Qn	N	HP:0011731
LOINC:1409-2	Qn	L	HP:0008163
LOINC:1409-2	Qn	N	HP:0011731
LOINC:1413-4	Qn	L	HP:0008163
LOINC:1413-4	Qn	N	HP:0011731
LOINC:1416-7	Qn	L	HP:0008163
LOINC:1416-7	Qn	N	HP:0011731
LOINC:1417-5	Qn	L	HP:0008163
LOINC:1417-5	Qn	N	HP:0011731
LOINC:1418-3	Qn	L	HP:0008163
LOINC:1418-3	Qn	N	HP:0011731
LOINC:1421-7	Qn	L	HP:0008163
LOINC:1421-7	Qn	N	HP:0011731
LOINC:1422-5	Qn	L	HP:0008163
LOINC:1422-5	Qn	N	HP:0011731
LOINC:1426-6	Qn	L	HP:0008163
LOINC:1426-6	Qn	N	HP:0011731
LOINC:1430-8	Qn	L	HP:0008163
LOINC:1430-8	Qn	N	HP:0011731
LOINC:1438-1	Qn	L	HP:0008163
LOINC:1438-1	Qn	N	HP:0011731
LOINC:1447-2	Qn	L	HP:0008163
LOINC:1447-2	Qn	N	HP:0011731
LOINC:1479-5	Qn	N	HP:0012024
LOINC:1479-5	Qn	H	HP:0012024
LOINC:1480-3	Qn	N	HP:0012024
LOINC:1480-3	Qn	H	HP:0012024
LOINC:1481-1	Qn	N	HP:0012024
LOINC:1481-1	Qn	H	HP:0012024
LOINC:1482-9	Qn	N	HP:0012024
LOINC:1482-9	Qn	H	HP:0012024
LOINC:1483-7	Qn	N	HP:0012023
LOINC:1483-7	Qn	H	HP:0012023
LOINC:1491-0	Qn	N	HP:0003076
LOINC:1491-0	Qn	H	HP:0003076
LOINC:1492-8	Qn	L	HP:0001943
LOINC:1492-8	Qn	N	HP:0011015
LOINC:1492-8	Qn	H	HP:0003074
LOINC:1493-6	Qn	L	HP:0001943
LOINC:1493-6	Qn	N	HP:0011015
LOINC:1493-6	Qn	H	HP:0003074
LOINC:1494-4	Qn	L	HP:0001943
LOINC:1494-4	Qn	N	HP:0011015
LOINC:1494-4	Qn	H	HP:0003074
LOINC:1495-1	Qn	N	HP:0003076
LOINC:1495-1	Qn	H	HP:0003076
LOINC:1496-9	Qn	L	HP:0001943
LOINC:1496-9	Qn	N	HP:0011015
LOINC:1496-9	Qn	H	HP:0003074
LOINC:1497-7	Qn	L	HP:0001943
LOINC:1497-7	Qn	N	HP:0011015
LOINC:1497-7	Qn	H	HP:0003074
LOINC:1498-5	Qn	L	HP:0001943
LOINC:1498-5	Qn	N	HP:0011015
LOINC:1498-5	Qn	H	HP:0003074
LOINC:1499-3	Qn	L	HP:0001943
LOINC:1499-3	Qn	N	HP:0011015
LOINC:1499-3	Qn	H	HP:0003074
LOINC:1500-8	Qn	L	HP:0001943
LOINC:1500-8	Qn	N	HP:0011015
LOINC:1500-8	Qn	H	HP:0003074
LOINC:1501-6	Qn	L	HP:0001943
LOINC:1501-6	Qn	N	HP:0011015
LOINC:1501-6	Qn	H	HP:0003074
LOINC:1503-2	Qn	L	HP:0001943
LOINC:1503-2	Qn	N	HP:0011015
LOINC:1503-2	Qn	H	HP:0003074
LOINC:1504-0	Qn	L	HP:0001943
LOINC:1504-0	Qn	N	HP:0011015
LOINC:1504-0	Qn	H	HP:0003074
LOINC:1505-7	Qn	N	HP:0003076
LOINC:1505-7	Qn	H	HP:0003076
LOINC:1506-5	Qn	L	HP:0001943
LOINC:1506-5	Qn	N	HP:0011015
LOINC:1506-5	Qn	H	HP:0003074
LOINC:1507-3	Qn	L	HP:0001943
LOINC:1507-3	Qn	N	HP:0011015
LOINC:1507-3	Qn	H	HP:0003074
LOINC:1509-9	Qn	N	HP:0003076
LOINC:1509-9	Qn	H	HP:0003076
LOINC:1510-7	Qn	L	HP:0001943
LOINC:1510-7	Qn	N	HP:0011015
LOINC:1510-7	Qn	H	HP:0003074
LOINC:1512-3	Qn	L	HP:0001943
LOINC:1512-3	Qn	N	HP:0011015
LOINC:1512-3	Qn	H	HP:0003074
LOINC:1513-1	Qn	L	HP:0001943
LOINC:1513-1	Qn	N	HP:0011015
LOINC:1513-1	Qn	H	HP:0003074
LOINC:1514-9	Qn	L	HP:0001943
LOINC:1514-9	Qn	N	HP:0011015
LOINC:1514-9	Qn	H	HP:0003074
LOINC:1516-4	Qn	L	HP:0001943
LOINC:1516-4	Qn	N	HP:0011015
LOINC:1516-4	Qn	H	HP:0003074
LOINC:1517-2	Qn	L	HP:0001943
LOINC:1517-2	Qn	N	HP:0011015
LOINC:1517-2	Qn	H	HP:0003074
LOINC:1518-0	Qn	L	HP:0001943
LOINC:1518-0	Qn	N	HP:0011015
LOINC:1518-0	Qn	H	HP:0003074
LOINC:1520-6	Qn	L	HP:0001943
LOINC:1520-6	Qn	N	HP:0011015
LOINC:1520-6	Qn	H	HP:0003074
LOINC:1521-4	Qn	L	HP:0001943
LOINC:1521-4	Qn	N	HP:0011015
LOINC:1521-4	Qn	H	HP:0003074
LOINC:1522-2	Qn	L	HP:0001943
LOINC:1522-2	Qn	N	HP:0011015
LOINC:1522-2	Qn	H	HP:0003074
LOINC:1523-0	Qn	L	HP:0001943
LOINC:1523-0	Qn	N	HP:0011015
LOINC:1523-0	Qn	H	HP:0003074
LOINC:1524-8	Qn	L	HP:0001943
LOINC:1524-8	Qn	N	HP:0011015
LOINC:1524-8	Qn	H	HP:0003074
LOINC:1525-5	Qn	L	HP:0001943
LOINC:1525-5	Qn	N	HP:0011015
LOINC:1525-5	Qn	H	HP:0003074
LOINC:1526-3	Qn	L	HP:0001943
LOINC:1526-3	Qn	N	HP:0011015
LOINC:1526-3	Qn	H	HP:0003074
LOINC:1527-1	Qn	L	HP:0001943
LOINC:1527-1	Qn	N	HP:0011015
LOINC:1527-1	Qn	H	HP:0003074
LOINC:1528-9	Qn	L	HP:0001943
LOINC:1528-9	Qn	N	HP:0011015
LOINC:1528-9	Qn	H	HP:0003074
LOINC:1530-5	Qn	L	HP:0001943
LOINC:1530-5	Qn	N	HP:0011015
LOINC:1530-5	Qn	H	HP:0003074
LOINC:1533-9	Qn	L	HP:0001943
LOINC:1533-9	Qn	N	HP:0011015
LOINC:1533-9	Qn	H	HP:0003074
LOINC:1534-7	Qn	L	HP:0001943
LOINC:1534-7	Qn	N	HP:0011015
LOINC:1534-7	Qn	H	HP:0003074
LOINC:1535-4	Qn	L	HP:0001943
LOINC:1535-4	Qn	N	HP:0011015
LOINC:1535-4	Qn	H	HP:0003074
LOINC:1536-2	Qn	L	HP:0001943
LOINC:1536-2	Qn	N	HP:0011015
LOINC:1536-2	Qn	H	HP:0003074
LOINC:1537-0	Qn	L	HP:0001943
LOINC:1537-0	Qn	N	HP:0011015
LOINC:1537-0	Qn	H	HP:0003074
LOINC:1539-6	Qn	L	HP:0001943
LOINC:1539-6	Qn	N	HP:0011015
LOINC:1539-6	Qn	H	HP:0003074
LOINC:1540-4	Qn	L	HP:0001943
LOINC:1540-4	Qn	N	HP:0011015
LOINC:1540-4	Qn	H	HP:0003074
LOINC:1542-0	Qn	L	HP:0001943
LOINC:1542-0	Qn	N	HP:0011015
LOINC:1542-0	Qn	H	HP:0003074
LOINC:1543-8	Qn	L	HP:0001943
LOINC:1543-8	Qn	N	HP:0011015
LOINC:1543-8	Qn	H	HP:0003074
LOINC:1544-6	Qn	L	HP:0001943
LOINC:1544-6	Qn	N	HP:0011015
LOINC:1544-6	Qn	H	HP:0003074
LOINC:1547-9	Qn	L	HP:0001943
LOINC:1547-9	Qn	N	HP:0011015
LOINC:1547-9	Qn	H	HP:0003074
LOINC:1548-7	Qn	L	HP:0001943
LOINC:1548-7	Qn	N	HP:0011015
LOINC:1548-7	Qn	H	HP:0003074
LOINC:1549-5	Qn	L	HP:0001943
LOINC:1549-5	Qn	N	HP:0011015
LOINC:1549-5	Qn	H	HP:0003074
LOINC:1550-3	Qn	L	HP:0001943
LOINC:1550-3	Qn	N	HP:0011015
LOINC:1550-3	Qn	H	HP:0003074
