ORPHA	OMIM
ORPHA:478664	OMIM:616488
ORPHA:168	OMIM:600628
ORPHA:1683	OMIM:126320
ORPHA:1682	OMIM:600459
ORPHA:391392|Clinical subtype	OMIM:615552
ORPHA:391397	OMIM:615548
ORPHA:565858	OMIM:618265
ORPHA:79405	OMIM:226650
ORPHA:93351	OMIM:271650
ORPHA:397692	OMIM:616553
ORPHA:143	OMIM:608266
ORPHA:1436	OMIM:309620
ORPHA:1432	OMIM:156590
ORPHA:1435	OMIM:303110
ORPHA:79499	OMIM:124480
ORPHA:79278	OMIM:177000
ORPHA:438159	OMIM:615952
ORPHA:457279	OMIM:616355
ORPHA:144	OMIM:614350
ORPHA:144	OMIM:613244
ORPHA:144	OMIM:614331
ORPHA:144	OMIM:614337
ORPHA:144	OMIM:120435
ORPHA:144	OMIM:609310
ORPHA:144	OMIM:614385
ORPHA:1440	OMIM:616606
ORPHA:55881	OMIM:102660
ORPHA:163665	OMIM:271620
ORPHA:163662	OMIM:600561
ORPHA:163668	OMIM:184000
ORPHA:352737|Clinical subtype	OMIM:606952
ORPHA:352731	OMIM:203100
ORPHA:352731	OMIM:606952
ORPHA:79396	OMIM:619555
ORPHA:79396	OMIM:131760
ORPHA:93571|Histopathological subtype	OMIM:609814
ORPHA:459033	OMIM:616267
ORPHA:163956	OMIM:300860
ORPHA:163953	OMIM:300799
ORPHA:309178|Clinical subtype	OMIM:272800
ORPHA:96256|Clinical group	OMIM:102200
ORPHA:221054	OMIM:200995
ORPHA:397	OMIM:187360
ORPHA:370088	OMIM:615438
ORPHA:71289	OMIM:605432
ORPHA:71289	OMIM:616738
ORPHA:178461	OMIM:300696
ORPHA:178464	OMIM:603689
ORPHA:178469|Etiological subtype	OMIM:616977
ORPHA:178469|Etiological subtype	OMIM:618330
ORPHA:178469|Etiological subtype	OMIM:616521
ORPHA:178469|Etiological subtype	OMIM:614255
ORPHA:178469|Etiological subtype	OMIM:614257
ORPHA:178469|Etiological subtype	OMIM:614256
ORPHA:178469|Etiological subtype	OMIM:614254
ORPHA:178469|Etiological subtype	OMIM:616393
ORPHA:178469|Etiological subtype	OMIM:615828
ORPHA:178469|Etiological subtype	OMIM:618095
ORPHA:178469|Etiological subtype	OMIM:614113
ORPHA:178469|Etiological subtype	OMIM:156200
ORPHA:178469|Etiological subtype	OMIM:617798
ORPHA:178469|Etiological subtype	OMIM:617796
ORPHA:178469|Etiological subtype	OMIM:617799
ORPHA:178469|Etiological subtype	OMIM:618106
ORPHA:178469|Etiological subtype	OMIM:619188
ORPHA:178469|Etiological subtype	OMIM:614563
ORPHA:178469|Etiological subtype	OMIM:620157
ORPHA:178469|Etiological subtype	OMIM:617854
ORPHA:178469|Etiological subtype	OMIM:612621
ORPHA:178469|Etiological subtype	OMIM:616579
ORPHA:178469|Etiological subtype	OMIM:616083
ORPHA:178469|Etiological subtype	OMIM:613970
ORPHA:178469|Etiological subtype	OMIM:612580
ORPHA:178469|Etiological subtype	OMIM:612581
ORPHA:178469|Etiological subtype	OMIM:620114
ORPHA:127	OMIM:301900
ORPHA:1275	OMIM:186550
ORPHA:1271	OMIM:211200
ORPHA:1276	OMIM:112410
ORPHA:1270	OMIM:211180
ORPHA:1278	OMIM:112450
ORPHA:1272	OMIM:601088
ORPHA:1272	OMIM:601353
ORPHA:50816	OMIM:607944
ORPHA:69737	OMIM:601536
ORPHA:33069	OMIM:612164
ORPHA:33069	OMIM:607208
ORPHA:33069	OMIM:615744
ORPHA:98992|Clinical subtype	OMIM:115660
ORPHA:98992|Clinical subtype	OMIM:613763
ORPHA:98992|Clinical subtype	OMIM:614422
ORPHA:98992|Clinical subtype	OMIM:607304
ORPHA:98992|Clinical subtype	OMIM:116400
ORPHA:98992|Clinical subtype	OMIM:610019
ORPHA:98992|Clinical subtype	OMIM:605728
ORPHA:98992|Clinical subtype	OMIM:609376
ORPHA:98992|Clinical subtype	OMIM:601202
ORPHA:98992|Clinical subtype	OMIM:115800
ORPHA:98992|Clinical subtype	OMIM:116300
ORPHA:91378|Clinical group	OMIM:619360
ORPHA:91378|Clinical group	OMIM:619361
ORPHA:91378|Clinical group	OMIM:619366
ORPHA:91378|Clinical group	OMIM:619363
