hierarchy	system	code	fsn	version	preferred	acceptable	orphanet_map
disorder	http://snomed.info/sct	SNOMEDCT:290006	Melnick-Fraser syndrome (disorder)	20240301	Melnick-Fraser syndrome	Branchio-oto-renal syndrome	ORPHA:107
disorder	http://snomed.info/sct	SNOMEDCT:378007	Morquio syndrome (disorder)	20240301	Morquio syndrome	Keratan sulphaturia	ORPHA:582
disorder	http://snomed.info/sct	SNOMEDCT:613003	Fragile X syndrome (disorder)	20240301	Fragile X syndrome	FRAXA (fragile X) syndrome	ORPHA:908
disorder	http://snomed.info/sct	SNOMEDCT:626004	Hypercortisolism due to nonpituitary tumor (disorder)	20240301	Hypercortisolism due to nonpituitary tumour	Ectopic ACTH syndrome	ORPHA:99889
disorder	http://snomed.info/sct	SNOMEDCT:1212005	Childhood type dermatomyositis (disorder)	20240301	Childhood type dermatomyositis	Juvenile dermatomyositis	ORPHA:93672
disorder	http://snomed.info/sct	SNOMEDCT:1214006	Infection caused by Strongyloides (disorder)	20240301	Infection by Strongyloides	Strongyloidiasis	ORPHA:76
disorder	http://snomed.info/sct	SNOMEDCT:1271009	Knuckle pads, leukonychia, sensorineural deafness, palmoplantar hyperkeratosis syndrome (disorder)	20240301	Knuckle pads, leukonychia, sensorineural deafness, palmoplantar hyperkeratosis syndrome	Bart-Pumphrey syndrome	ORPHA:2698
disorder	http://snomed.info/sct	SNOMEDCT:1372004	Uterus unicornis (disorder)	20240301	Uterus unicornis	Congenital absence of one uterine horn	ORPHA:180074
disorder	http://snomed.info/sct	SNOMEDCT:1393001	Lenz-Majewski hyperostosis syndrome (disorder)	20240301	Lenz-Majewski hyperostosis syndrome	Lenz-Majewski dysplasia	ORPHA:2658
disorder	http://snomed.info/sct	SNOMEDCT:1493002	Acute endophthalmitis (disorder)	20240301	Acute endophthalmitis		ORPHA:279888
disorder	http://snomed.info/sct	SNOMEDCT:1515008	Gorham's disease (disorder)	20240301	Gorham's disease	Gorham disease	ORPHA:73
disorder	http://snomed.info/sct	SNOMEDCT:1519002	Congenital phlebectasia (disorder)	20240301	Congenital phlebectasia	Diffuse phlebectasia	ORPHA:217008
disorder	http://snomed.info/sct	SNOMEDCT:1674008	Juvenile epithelial corneal dystrophy (disorder)	20240301	Meesman's corneal dystrophy	Meesman's epithelial corneal dystrophy	ORPHA:98954
disorder	http://snomed.info/sct	SNOMEDCT:1685005	Rat bite fever (disorder)	20240301	Rat bite fever	Rat-bite fever	ORPHA:31205
disorder	http://snomed.info/sct	SNOMEDCT:1767005	Fisher's syndrome (disorder)	20240301	Fisher's syndrome	Fisher syndrome	ORPHA:98919
disorder	http://snomed.info/sct	SNOMEDCT:1779005	Mohr syndrome (disorder)	20240301	Mohr syndrome	OFD II - Orofacial-digital syndrome II	ORPHA:2751
disorder	http://snomed.info/sct	SNOMEDCT:1847009	Endophthalmitis (disorder)	20240301	Endophthalmitis		ORPHA:199323
disorder	http://snomed.info/sct	SNOMEDCT:1857005	Congenital rubella syndrome (disorder)	20240301	Congenital rubella syndrome	Gregg's syndrome	ORPHA:290
disorder	http://snomed.info/sct	SNOMEDCT:1926006	Osteopetrosis (disorder)	20240301	Osteopetrosis		ORPHA:2781
disorder	http://snomed.info/sct	SNOMEDCT:1963002	Paroxysmal nocturnal hemoglobinuria (disorder)	20240301	Paroxysmal nocturnal hemoglobinuria	PNH - paroxysmal nocturnal haemoglobinuria	ORPHA:447
disorder	http://snomed.info/sct	SNOMEDCT:2040007	Neurogenic thoracic outlet syndrome (disorder)	20240301	Neurogenic thoracic outlet syndrome		ORPHA:100073
disorder	http://snomed.info/sct	SNOMEDCT:2065009	Dominant hereditary optic atrophy (disorder)	20240301	Dominant hereditary optic atrophy	Autosomal dominant optic atrophy	ORPHA:98672
disorder	http://snomed.info/sct	SNOMEDCT:2359002	Hyper-beta-alaninemia (disorder)	20240301	Hyper-beta-alaninemia	Hyperalaninemia	ORPHA:309147
disorder	http://snomed.info/sct	SNOMEDCT:2391001	Achondrogenesis (disorder)	20240301	Achondrogenesis		ORPHA:932
disorder	http://snomed.info/sct	SNOMEDCT:2438005	Iniencephaly (disorder)	20240301	Iniencephaly	Iniencephalus	ORPHA:63259
disorder	http://snomed.info/sct	SNOMEDCT:2593002	Dubowitz's syndrome (disorder)	20240301	Dubowitz's syndrome	Dubowitz syndrome	ORPHA:235
disorder	http://snomed.info/sct	SNOMEDCT:2707005	Necrotizing enterocolitis in fetus OR newborn (disorder)	20240301	Necrotizing enterocolitis in fetus OR newborn	Pseudomembranous enterocolitis in newborn	ORPHA:391673
disorder	http://snomed.info/sct	SNOMEDCT:2736005	Atrophoderma vermiculatum (disorder)	20240301	Atrophoderma vermiculatum	Acne vermoulante	ORPHA:79100
disorder	http://snomed.info/sct	SNOMEDCT:2772003	Acquired epidermolysis bullosa (disorder)	20240301	Acquired epidermolysis bullosa		ORPHA:46487
disorder	http://snomed.info/sct	SNOMEDCT:2829000	Uhl's disease (disorder)	20240301	Uhl's disease	Uhl disease	ORPHA:3403
disorder	http://snomed.info/sct	SNOMEDCT:2884008	Weill-Marchesani syndrome (disorder)	20240301	Weill-Marchesani syndrome	Spherophakia-brachymorphia syndrome	ORPHA:3449
disorder	http://snomed.info/sct	SNOMEDCT:2992000	Pigmentary pallidal degeneration (disorder)	20240301	Pigmentary pallidal degeneration	Pigmentary pallidal atrophy	ORPHA:157850
disorder	http://snomed.info/sct	SNOMEDCT:3073006	Ruvalcaba syndrome (disorder)	20240301	Ruvalcaba syndrome		ORPHA:3121
disorder	http://snomed.info/sct	SNOMEDCT:3755001	Pityriasis rubra pilaris (disorder)	20240301	Pityriasis rubra pilaris	Devergie's disease	ORPHA:2897
disorder	http://snomed.info/sct	SNOMEDCT:3928002	Zika virus disease (disorder)	20240301	Zika virus disease	Zika fever	ORPHA:448237
disorder	http://snomed.info/sct	SNOMEDCT:3978000	Warm autoimmune hemolytic anemia (disorder)	20240301	Warm autoimmune hemolytic anemia	Warm type hemolytic anemia	ORPHA:90033
disorder	http://snomed.info/sct	SNOMEDCT:3987009	Congenital absence of trachea (disorder)	20240301	Congenital absence of trachea		ORPHA:3346
disorder	http://snomed.info/sct	SNOMEDCT:4183003	Charcot-Marie-Tooth disease, type IC (disorder)	20240301	Charcot-Marie-Tooth disease, type IC		ORPHA:101083
disorder	http://snomed.info/sct	SNOMEDCT:4199009	18p partial trisomy syndrome (disorder)	20240301	18p partial trisomy syndrome		ORPHA:1715
disorder	http://snomed.info/sct	SNOMEDCT:4241002	Listeriosis (disorder)	20240301	Listeriosis	Circling disease	ORPHA:533
disorder	http://snomed.info/sct	SNOMEDCT:4283007	Mirizzi's syndrome (disorder)	20240301	Mirizzi's syndrome	Mirizzi syndrome	ORPHA:521219
disorder	http://snomed.info/sct	SNOMEDCT:4434006	Bloom syndrome (disorder)	20240301	Bloom syndrome	BS - Bloom syndrome	ORPHA:125
disorder	http://snomed.info/sct	SNOMEDCT:4602007	Robin sequence (disorder)	20240301	Robin sequence	Micrognathia-glossoptosis syndrome	ORPHA:718
