ICD10	OMIM
ICD-10:G60.8	OMIM:616488
ICD-10:L65.1	OMIM:600628
ICD-10:Q87.8	OMIM:126320
ICD-10:Q87.8	OMIM:600459
ICD-10:M79.6	OMIM:615552
ICD-10:G60.8	OMIM:615548
ICD-10:Q87.8	OMIM:618265
ICD-10:Q81.8	OMIM:226650
ICD-10:Q77.7	OMIM:271650
ICD-10:D61.0	OMIM:616553
ICD-10:C75.0	OMIM:608266
ICD-10:Q87.5	OMIM:309620
ICD-10:Q93.5	OMIM:303110
ICD-10:Q87.8	OMIM:124480
ICD-10:E80.0	OMIM:177000
ICD-10:M35.8	OMIM:615952
ICD-10:Q87.8	OMIM:616355
ICD-10:D48.9	OMIM:614350
ICD-10:D48.9	OMIM:613244
ICD-10:D48.9	OMIM:614331
ICD-10:D48.9	OMIM:614337
ICD-10:D48.9	OMIM:120435
ICD-10:D48.9	OMIM:609310
ICD-10:D48.9	OMIM:614385
ICD-10:Q93.2	OMIM:616606
ICD-10:C40.2	OMIM:102660
ICD-10:Q77.7	OMIM:271620
ICD-10:Q77.7	OMIM:600561
ICD-10:Q77.7	OMIM:184000
ICD-10:E70.3	OMIM:606952
ICD-10:E70.3	OMIM:203100
ICD-10:Q81.0	OMIM:619555
ICD-10:Q81.0	OMIM:131760
ICD-10:N03.6	OMIM:609814
ICD-10:G60.2	OMIM:616267
ICD-10:Q87.8	OMIM:300860
ICD-10:Q87.8	OMIM:300799
ICD-10:E75.0	OMIM:272800
ICD-10:Q87.0	OMIM:200995
ICD-10:M31.6	OMIM:187360
ICD-10:K72.0	OMIM:615438
ICD-10:Q87.2	OMIM:605432
ICD-10:Q87.2	OMIM:616738
ICD-10:G71.0	OMIM:300696
ICD-10:G71.0	OMIM:603689
ICD-10:F70	OMIM:616977
ICD-10:F71	OMIM:616977
ICD-10:F72	OMIM:616977
ICD-10:F73	OMIM:616977
ICD-10:F70	OMIM:618330
ICD-10:F71	OMIM:618330
ICD-10:F72	OMIM:618330
ICD-10:F73	OMIM:618330
ICD-10:F70	OMIM:616521
ICD-10:F71	OMIM:616521
ICD-10:F72	OMIM:616521
ICD-10:F73	OMIM:616521
ICD-10:F70	OMIM:614255
ICD-10:F71	OMIM:614255
ICD-10:F72	OMIM:614255
ICD-10:F73	OMIM:614255
ICD-10:F70	OMIM:614257
ICD-10:F71	OMIM:614257
ICD-10:F72	OMIM:614257
ICD-10:F73	OMIM:614257
ICD-10:F70	OMIM:614256
ICD-10:F71	OMIM:614256
ICD-10:F72	OMIM:614256
ICD-10:F73	OMIM:614256
ICD-10:F70	OMIM:614254
ICD-10:F71	OMIM:614254
ICD-10:F72	OMIM:614254
ICD-10:F73	OMIM:614254
ICD-10:F70	OMIM:616393
ICD-10:F71	OMIM:616393
ICD-10:F72	OMIM:616393
ICD-10:F73	OMIM:616393
ICD-10:F70	OMIM:615828
ICD-10:F71	OMIM:615828
ICD-10:F72	OMIM:615828
ICD-10:F73	OMIM:615828
ICD-10:F70	OMIM:618095
ICD-10:F71	OMIM:618095
ICD-10:F72	OMIM:618095
ICD-10:F73	OMIM:618095
ICD-10:F70	OMIM:614113
ICD-10:F71	OMIM:614113
ICD-10:F72	OMIM:614113
ICD-10:F73	OMIM:614113
ICD-10:F70	OMIM:156200
ICD-10:F71	OMIM:156200
ICD-10:F72	OMIM:156200
ICD-10:F73	OMIM:156200
ICD-10:F70	OMIM:617798
ICD-10:F71	OMIM:617798
ICD-10:F72	OMIM:617798
ICD-10:F73	OMIM:617798
ICD-10:F70	OMIM:617796
ICD-10:F71	OMIM:617796
ICD-10:F72	OMIM:617796
ICD-10:F73	OMIM:617796
ICD-10:F70	OMIM:617799
ICD-10:F71	OMIM:617799
ICD-10:F72	OMIM:617799
ICD-10:F73	OMIM:617799
ICD-10:F70	OMIM:618106
ICD-10:F71	OMIM:618106
ICD-10:F72	OMIM:618106
ICD-10:F73	OMIM:618106
ICD-10:F70	OMIM:619188
ICD-10:F71	OMIM:619188
ICD-10:F72	OMIM:619188
ICD-10:F73	OMIM:619188
ICD-10:F70	OMIM:614563
ICD-10:F71	OMIM:614563
ICD-10:F72	OMIM:614563
ICD-10:F73	OMIM:614563
ICD-10:F70	OMIM:620157
ICD-10:F71	OMIM:620157
ICD-10:F72	OMIM:620157
ICD-10:F73	OMIM:620157
ICD-10:F70	OMIM:617854
ICD-10:F71	OMIM:617854
ICD-10:F72	OMIM:617854
ICD-10:F73	OMIM:617854
ICD-10:F70	OMIM:612621
ICD-10:F71	OMIM:612621
ICD-10:F72	OMIM:612621
ICD-10:F73	OMIM:612621
ICD-10:F70	OMIM:616579
ICD-10:F71	OMIM:616579
ICD-10:F72	OMIM:616579
ICD-10:F73	OMIM:616579
ICD-10:F70	OMIM:616083
ICD-10:F71	OMIM:616083
ICD-10:F72	OMIM:616083
ICD-10:F73	OMIM:616083
ICD-10:F70	OMIM:613970
ICD-10:F71	OMIM:613970
ICD-10:F72	OMIM:613970
ICD-10:F73	OMIM:613970
ICD-10:F70	OMIM:612580
ICD-10:F71	OMIM:612580
ICD-10:F72	OMIM:612580
ICD-10:F73	OMIM:612580
ICD-10:F70	OMIM:612581
ICD-10:F71	OMIM:612581
ICD-10:F72	OMIM:612581
ICD-10:F73	OMIM:612581
ICD-10:F70	OMIM:620114
ICD-10:F71	OMIM:620114
ICD-10:F72	OMIM:620114
ICD-10:F73	OMIM:620114
ICD-10:Q87.8	OMIM:301900
ICD-10:Q73.8	OMIM:186550
ICD-10:Q73.8	OMIM:112410
ICD-10:Q87.8	OMIM:211180
ICD-10:Q73.8	OMIM:112450
ICD-10:Q87.8	OMIM:601088
ICD-10:Q87.8	OMIM:601353
ICD-10:Q77.7	OMIM:607944
ICD-10:Q87.8	OMIM:601536
ICD-10:G40.4	OMIM:612164
ICD-10:G40.4	OMIM:607208
ICD-10:G40.4	OMIM:615744
ICD-10:Q12.0	OMIM:115660
ICD-10:Q12.0	OMIM:613763
ICD-10:Q12.0	OMIM:614422
ICD-10:Q12.0	OMIM:607304
ICD-10:Q12.0	OMIM:116400
ICD-10:Q12.0	OMIM:610019
ICD-10:Q12.0	OMIM:605728
ICD-10:Q12.0	OMIM:609376
ICD-10:Q12.0	OMIM:601202
ICD-10:Q12.0	OMIM:115800
ICD-10:Q12.0	OMIM:116300
ICD-10:C16.9	OMIM:137215
ICD-10:D69.4	OMIM:273900
ICD-10:Q87.5	OMIM:617662
ICD-10:G60.8	OMIM:256840
ICD-10:G71.8	OMIM:600332
ICD-10:G71.8	OMIM:606072
ICD-10:C45.0	OMIM:156240
ICD-10:G40.5	OMIM:613339
ICD-10:G40.5	OMIM:613340
ICD-10:E77.8	OMIM:608799
ICD-10:G60.0	OMIM:609311
ICD-10:L60.5	OMIM:153300
ICD-10:E76.2	OMIM:253010
ICD-10:Q68.8	OMIM:611369
ICD-10:Q68.8	OMIM:614915
ICD-10:E72.3	OMIM:204750
ICD-10:G60.0	OMIM:607684
ICD-10:E72.1	OMIM:252150
ICD-10:E72.1	OMIM:252160
ICD-10:E72.1	OMIM:615501
